+-------------------------------------------------------------------------+
; QoR Summary                                                             ;
+-------------------------------------+-----------------------------------+
; Logic Utilization (in ALMs)         ; 240,394.7 / 912,800 (26.3 %)      ;
; Total Combinational ALUTs           ; 251489                            ;
; Total Registers                     ; 628456                            ;
; Total DSP Blocks                    ; 372 / 8,528 (4.36 %)              ;
; Total Block Memory Bits             ; 22,913,192 / 271,810,560 (8.43 %) ;
; Total RAM Blocks                    ; 1,667 / 13,272 (12.6 %)           ;
; Total MLABs                         ; 1097.0                            ;
; AI Suite IP Fmax                    ; 1000.0 MHz                        ;
; Actual AI Suite IPs Clock Frequency ; 600 MHz                           ;
+-------------------------------------+-----------------------------------+

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Synthesis Resource Utilization                                                                                                                                                                                                                                                                                                                             ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------+--------------+------------+-------------------+--------------------------------------------------------------------------------------+
; Instance Name                                                                                                                                                                                 ; Combinational ALUTs ; Registers    ; DSP Blocks ; Block Memory Bits ; Entity Name                                                                          ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------+--------------+------------+-------------------+--------------------------------------------------------------------------------------+
; top                                                                                                                                                                                           ; 242241              ; 532941       ; 372        ; 22913192          ; Total                                                                                ;
; Total non AI Suite IPs                                                                                                                                                                        ; 157732 (65%)        ; 388379 (73%) ; 0 (0%)     ; 3296896 (14%)     ; Total non AI Suite IPs                                                               ;
; Total AI Suite IPs                                                                                                                                                                            ; 84509 (35%)         ; 144562 (27%) ; 372 (100%) ; 19616296 (86%)    ; Total AI Suite IPs                                                                   ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0                                                                                  ; 42255 (50%)         ; 72281 (50%)  ; 186 (50%)  ; 9808148 (50%)     ; dla_top_wrapper_16x16_i5x1_fp16_sb28238_poolk1_actk16_prelu_clamp_sig_softmaxk1_AGX7 ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst                                                                     ; 42255 (100%)        ; 72281 (100%) ; 186 (100%) ; 9808148 (100%)    ; dla_top                                                                              ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst                                                 ; 6911 (16%)          ; 5981 (8%)    ; 32 (17%)   ; 393216 (4%)       ; dla_aux_activation_top                                                               ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_aux_activation_config_decoder_inst          ; 63 (0%)             ; 326 (0%)     ; 0 (0%)     ; 0 (0%)            ; dla_aux_activation_config_decoder                                                    ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_aux_activation_group_inst                   ; 6847 (16%)          ; 5646 (8%)    ; 32 (17%)   ; 393216 (4%)       ; dla_aux_activation_group                                                             ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_reset_handler_simple_inst                   ; 1 (0%)              ; 9 (0%)       ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                                             ;
