+-------------------------------------------------------------------------+
; QoR Summary                                                             ;
+-------------------------------------+-----------------------------------+
; Logic Utilization (in ALMs)         ; 87,854.8 / 487,200 (18.0 %)       ;
; Total Combinational ALUTs           ; 112520                            ;
; Total Registers                     ; 251087                            ;
; Total DSP Blocks                    ; 160 / 4,510 (3.55 %)              ;
; Total Block Memory Bits             ; 15,363,452 / 145,612,800 (10.6 %) ;
; Total RAM Blocks                    ; 1,025 / 7,110 (14.4 %)            ;
; Total MLABs                         ; 438.0                             ;
; AI Suite IP Fmax                    ; 606.8 MHz                         ;
; Actual AI Suite IPs Clock Frequency ; 606.25 MHz                        ;
+-------------------------------------+-----------------------------------+

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Synthesis Resource Utilization                                                                                                                                                                                                                               ;
+-------------------------------------------------------------------------------------------------------------------+---------------------+--------------+------------+-------------------+--------------------------------------------------------------------+
; Instance Name                                                                                                     ; Combinational ALUTs ; Registers    ; DSP Blocks ; Block Memory Bits ; Entity Name                                                        ;
+-------------------------------------------------------------------------------------------------------------------+---------------------+--------------+------------+-------------------+--------------------------------------------------------------------+
; top                                                                                                               ; 109614              ; 237146       ; 160        ; 15364076          ; Total                                                              ;
; Total non AI Suite IPs                                                                                            ; 71389 (65%)         ; 154645 (65%) ; 0 (0%)     ; 4334404 (28%)     ; Total non AI Suite IPs                                             ;
; Total AI Suite IPs                                                                                                ; 38225 (35%)         ; 82501 (35%)  ; 160 (100%) ; 11029672 (72%)    ; Total AI Suite IPs                                                 ;
; dla_platform_inst|dla_top_inst_0                                                                                  ; 19112 (50%)         ; 41252 (50%)  ; 80 (50%)   ; 5514836 (50%)     ; dla_top_wrapper_16x16_i5x1_fp13agx_sb17600_poolk1_actk16_relu_AGX7 ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst                                                                     ; 19112 (100%)        ; 41252 (100%) ; 80 (100%)  ; 5514836 (100%)    ; dla_top                                                            ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst                                                 ; 304 (2%)            ; 1291 (3%)    ; 0 (0%)     ; 0 (0%)            ; dla_aux_activation_top                                             ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_aux_activation_group_inst                   ; 304 (2%)            ; 1285 (3%)    ; 0 (0%)     ; 0 (0%)            ; dla_aux_activation_group                                           ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_reset_handler_simple_inst                   ; 0 (0%)              ; 6 (0%)       ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                           ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|dla1x_reset_handler_inst                             ; 0 (0%)              ; 6 (0%)       ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                           ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|dma|ddr_reset_synchronizer                                          ; 1 (0%)              ; 6 (0%)       ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                           ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|pool_inst|dla_reset_handler_simple_inst                             ; 0 (0%)              ; 9 (0%)       ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                           ;
