+-------------------------------------------------------------------------+
; QoR Summary                                                             ;
+-------------------------------------+-----------------------------------+
; Logic Utilization (in ALMs)         ; 209,461.2 / 912,800 (22.9 %)      ;
; Total Combinational ALUTs           ; 206032                            ;
; Total Registers                     ; 504360                            ;
; Total DSP Blocks                    ; 160 / 8,528 (1.88 %)              ;
; Total Block Memory Bits             ; 14,326,568 / 271,810,560 (5.27 %) ;
; Total RAM Blocks                    ; 1,227 / 13,272 (9.25 %)           ;
; Total MLABs                         ; 1003.0                            ;
; AI Suite IP Fmax                    ; 1000.0 MHz                        ;
; Actual AI Suite IPs Clock Frequency ; 600 MHz                           ;
+-------------------------------------+-----------------------------------+

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Synthesis Resource Utilization                                                                                                                                                                                                                                                                                                           ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------+--------------+------------+-------------------+--------------------------------------------------------------------+
; Instance Name                                                                                                                                                                                 ; Combinational ALUTs ; Registers    ; DSP Blocks ; Block Memory Bits ; Entity Name                                                        ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------+--------------+------------+-------------------+--------------------------------------------------------------------+
; top                                                                                                                                                                                           ; 196604              ; 472755       ; 160        ; 14326568          ; Total                                                              ;
; Total non AI Suite IPs                                                                                                                                                                        ; 158085 (80%)        ; 388379 (82%) ; 0 (0%)     ; 3296896 (23%)     ; Total non AI Suite IPs                                             ;
; Total AI Suite IPs                                                                                                                                                                            ; 38519 (20%)         ; 84376 (18%)  ; 160 (100%) ; 11029672 (77%)    ; Total AI Suite IPs                                                 ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0                                                                                  ; 19260 (50%)         ; 42188 (50%)  ; 80 (50%)   ; 5514836 (50%)     ; dla_top_wrapper_16x16_i5x1_fp13agx_sb17600_poolk1_actk16_relu_AGX7 ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst                                                                     ; 19260 (100%)        ; 42188 (100%) ; 80 (100%)  ; 5514836 (100%)    ; dla_top                                                            ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst                                                 ; 303 (2%)            ; 1292 (3%)    ; 0 (0%)     ; 0 (0%)            ; dla_aux_activation_top                                             ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_aux_activation_group_inst                   ; 303 (2%)            ; 1286 (3%)    ; 0 (0%)     ; 0 (0%)            ; dla_aux_activation_group                                           ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_reset_handler_simple_inst                   ; 0 (0%)              ; 6 (0%)       ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                           ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|dla1x_reset_handler_inst                             ; 0 (0%)              ; 6 (0%)       ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                           ;
