+-------------------------------------------------------------------------+
; QoR Summary                                                             ;
+-------------------------------------+-----------------------------------+
; Logic Utilization (in ALMs)         ; 171,154.9 / 487,200 (35.1 %)      ;
; Total Combinational ALUTs           ; 233192                            ;
; Total Registers                     ; 459992                            ;
; Total DSP Blocks                    ; 224 / 4,510 (4.97 %)              ;
; Total Block Memory Bits             ; 16,149,884 / 145,612,800 (11.1 %) ;
; Total RAM Blocks                    ; 1,377 / 7,110 (19.4 %)            ;
; Total MLABs                         ; 457.0                             ;
; AI Suite IP Fmax                    ; 608.27 MHz                        ;
; Actual AI Suite IPs Clock Frequency ; 606.25 MHz                        ;
+-------------------------------------+-----------------------------------+

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Synthesis Resource Utilization                                                                                                                                                                                                                                        ;
+-------------------------------------------------------------------------------------------------------------------+---------------------+---------------+------------+-------------------+----------------------------------------------------------------------------+
; Instance Name                                                                                                     ; Combinational ALUTs ; Registers     ; DSP Blocks ; Block Memory Bits ; Entity Name                                                                ;
+-------------------------------------------------------------------------------------------------------------------+---------------------+---------------+------------+-------------------+----------------------------------------------------------------------------+
; top                                                                                                               ; 233371              ; 371373        ; 224        ; 16150508          ; Total                                                                      ;
; Total non AI Suite IPs                                                                                            ; 71259 (31%)         ; 154648 (42%)  ; 0 (0%)     ; 4334404 (27%)     ; Total non AI Suite IPs                                                     ;
; Total AI Suite IPs                                                                                                ; 162112 (69%)        ; 216725 (58%)  ; 224 (100%) ; 11816104 (73%)    ; Total AI Suite IPs                                                         ;
; dla_platform_inst|dla_top_inst_0                                                                                  ; 81055 (50%)         ; 108363 (50%)  ; 112 (50%)  ; 5908052 (50%)     ; dla_top_wrapper_16x16_i5x1_fp13agx_sb17600_lt_f224_poolk1_actk16_relu_AGX7 ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst                                                                     ; 81055 (100%)        ; 108363 (100%) ; 112 (100%) ; 5908052 (100%)    ; dla_top                                                                    ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst                                                 ; 302 (0%)            ; 1291 (1%)     ; 0 (0%)     ; 0 (0%)            ; dla_aux_activation_top                                                     ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_aux_activation_group_inst                   ; 302 (0%)            ; 1285 (1%)     ; 0 (0%)     ; 0 (0%)            ; dla_aux_activation_group                                                   ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_reset_handler_simple_inst                   ; 0 (0%)              ; 6 (0%)        ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                                   ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|dla1x_reset_handler_inst                             ; 0 (0%)              ; 6 (0%)        ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                                   ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|dma|ddr_reset_synchronizer                                          ; 1 (0%)              ; 6 (0%)        ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                                   ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|pool_inst|dla_reset_handler_simple_inst                             ; 0 (0%)              ; 9 (0%)        ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                                   ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|wa_pool_input_inst|gen_areset.reset_handler                         ; 1 (0%)              ; 6 (0%)        ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                                   ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|wa_pool_output_inst|gen_areset.reset_handler                        ; 1 (0%)              ; 6 (0%)        ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                                   ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|xbar_inst|gen_areset.reset_handler                                  ; 1 (0%)              ; 6 (0%)        ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                                   ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network                                                      ; 879 (1%)            ; 1520 (1%)     ; 0 (0%)     ; 147968 (3%)       ; dla_config_network                                                         ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|gen_fifo[10].gen_hld_fifo.dla_hld_fifo_inst          ; 36 (0%)             ; 31 (0%)       ; 0 (0%)     ; 0 (0%)            ; dla_hld_fifo                                                               ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|gen_fifo[11].gen_hld_fifo.dla_hld_fifo_inst          ; 58 (0%)             ; 61 (0%)       ; 0 (0%)     ; 16384 (0%)        ; dla_hld_fifo                                                               ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|gen_fifo[2].gen_hld_fifo.dla_hld_fifo_inst           ; 56 (0%)             ; 62 (0%)       ; 0 (0%)     ; 14848 (0%)        ; dla_hld_fifo                                                               ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|gen_fifo[3].gen_hld_fifo.dla_hld_fifo_inst           ; 59 (0%)             ; 61 (0%)       ; 0 (0%)     ; 12288 (0%)        ; dla_hld_fifo                                                               ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|gen_fifo[4].gen_hld_fifo.dla_hld_fifo_inst           ; 54 (0%)             ; 58 (0%)       ; 0 (0%)     ; 1024 (0%)         ; dla_hld_fifo                                                               ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|gen_fifo[5].gen_hld_fifo.dla_hld_fifo_inst           ; 59 (0%)             ; 61 (0%)       ; 0 (0%)     ; 16384 (0%)        ; dla_hld_fifo                                                               ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|gen_fifo[6].gen_hld_fifo.dla_hld_fifo_inst           ; 55 (0%)             ; 59 (0%)       ; 0 (0%)     ; 8192 (0%)         ; dla_hld_fifo                                                               ;
; dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|gen_fifo[9].gen_hld_fifo.dla_hld_fifo_inst           ; 58 (0%)             ; 61 (0%)       ; 0 (0%)     ; 13312 (0%)        ; dla_hld_fifo                                                               ;
