+-------------------------------------------------------------------------+
; QoR Summary                                                             ;
+-------------------------------------+-----------------------------------+
; Logic Utilization (in ALMs)         ; 211,120.5 / 912,800 (23.1 %)      ;
; Total Combinational ALUTs           ; 209853                            ;
; Total Registers                     ; 517862                            ;
; Total DSP Blocks                    ; 180 / 8,528 (2.11 %)              ;
; Total Block Memory Bits             ; 14,496,552 / 271,810,560 (5.33 %) ;
; Total RAM Blocks                    ; 1,243 / 13,272 (9.37 %)           ;
; Total MLABs                         ; 1019.0                            ;
; AI Suite IP Fmax                    ; 1000.0 MHz                        ;
; Actual AI Suite IPs Clock Frequency ; 600 MHz                           ;
+-------------------------------------+-----------------------------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Synthesis Resource Utilization                                                                                                                                                                                                                                                                                                                     ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------+--------------+------------+-------------------+------------------------------------------------------------------------------+
; Instance Name                                                                                                                                                                                 ; Combinational ALUTs ; Registers    ; DSP Blocks ; Block Memory Bits ; Entity Name                                                                  ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------+--------------+------------+-------------------+------------------------------------------------------------------------------+
; top                                                                                                                                                                                           ; 200594              ; 482275       ; 180        ; 14496552          ; Total                                                                        ;
; Total non AI Suite IPs                                                                                                                                                                        ; 158085 (79%)        ; 388379 (81%) ; 0 (0%)     ; 3296896 (23%)     ; Total non AI Suite IPs                                                       ;
; Total AI Suite IPs                                                                                                                                                                            ; 42509 (21%)         ; 93896 (19%)  ; 180 (100%) ; 11199656 (77%)    ; Total AI Suite IPs                                                           ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0                                                                                  ; 21254 (50%)         ; 46948 (50%)  ; 90 (50%)   ; 5599828 (50%)     ; dla_top_wrapper_16x16_i5x1_fp13agx_sb17600_poolk1_actk16_relu_softmaxk1_AGX7 ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst                                                                     ; 21254 (100%)        ; 46948 (100%) ; 90 (100%)  ; 5599828 (100%)    ; dla_top                                                                      ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst                                                 ; 303 (1%)            ; 1292 (3%)    ; 0 (0%)     ; 0 (0%)            ; dla_aux_activation_top                                                       ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_aux_activation_group_inst                   ; 303 (1%)            ; 1286 (3%)    ; 0 (0%)     ; 0 (0%)            ; dla_aux_activation_group                                                     ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|aux_activation_inst|dla_reset_handler_simple_inst                   ; 0 (0%)              ; 6 (0%)       ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                                     ;
; afu_top|pg_afu.port_gasket|pr_slot|afu_main|port_afu_instances|ofs_plat_afu|dla_platform_inst|dla_top_inst_0|dla_top_inst|config_network|dla1x_reset_handler_inst                             ; 0 (0%)              ; 6 (0%)       ; 0 (0%)     ; 0 (0%)            ; dla_reset_handler_simple                                                     ;
