AI suite output tensor offset;output channel (C);output depth (D);output height (H);output width (W);output C-vector (Cvec);->;logical output tensor offset;transformed channel (C);transformed depth (D);transformed height (H);transformed width (W)
0;0;0;0;0;0;->;0;0;0;0;0
1;0;0;0;0;1;->;1;1;0;0;0
2;0;0;0;0;2;->;2;2;0;0;0
3;0;0;0;0;3;->;3;3;0;0;0
4;0;0;0;0;4;->;4;4;0;0;0
5;0;0;0;0;5;->;5;5;0;0;0
6;0;0;0;0;6;->;6;6;0;0;0
7;0;0;0;0;7;->;7;7;0;0;0
8;0;0;0;0;8;->;8;8;0;0;0
9;0;0;0;0;9;->;9;9;0;0;0
10;0;0;0;0;10;->;10;10;0;0;0
11;0;0;0;0;11;->;11;11;0;0;0
12;0;0;0;0;12;->;12;12;0;0;0
13;0;0;0;0;13;->;13;13;0;0;0
14;0;0;0;0;14;->;14;14;0;0;0
15;0;0;0;0;15;->;15;15;0;0;0
16;0;0;0;0;16;->;16;16;0;0;0
17;0;0;0;0;17;->;17;17;0;0;0
18;0;0;0;0;18;->;18;18;0;0;0
19;0;0;0;0;19;->;19;19;0;0;0
20;0;0;0;0;20;->;20;20;0;0;0
21;0;0;0;0;21;->;21;21;0;0;0
22;0;0;0;0;22;->;22;22;0;0;0
23;0;0;0;0;23;->;23;23;0;0;0
24;0;0;0;0;24;->;24;24;0;0;0
25;0;0;0;0;25;->;25;25;0;0;0
26;0;0;0;0;26;->;26;26;0;0;0
27;0;0;0;0;27;->;27;27;0;0;0
28;0;0;0;0;28;->;28;28;0;0;0
29;0;0;0;0;29;->;29;29;0;0;0
30;0;0;0;0;30;->;30;30;0;0;0
31;0;0;0;0;31;->;31;31;0;0;0
32;1;0;0;0;0;->;32;32;0;0;0
33;1;0;0;0;1;->;33;33;0;0;0
34;1;0;0;0;2;->;34;34;0;0;0
35;1;0;0;0;3;->;35;35;0;0;0
36;1;0;0;0;4;->;36;36;0;0;0
37;1;0;0;0;5;->;37;37;0;0;0
38;1;0;0;0;6;->;38;38;0;0;0
39;1;0;0;0;7;->;39;39;0;0;0
40;1;0;0;0;8;->;40;40;0;0;0
41;1;0;0;0;9;->;41;41;0;0;0
42;1;0;0;0;10;->;42;42;0;0;0
43;1;0;0;0;11;->;43;43;0;0;0
44;1;0;0;0;12;->;44;44;0;0;0
45;1;0;0;0;13;->;45;45;0;0;0
46;1;0;0;0;14;->;46;46;0;0;0
47;1;0;0;0;15;->;47;47;0;0;0
48;1;0;0;0;16;->;48;48;0;0;0
49;1;0;0;0;17;->;49;49;0;0;0
50;1;0;0;0;18;->;50;50;0;0;0
51;1;0;0;0;19;->;51;51;0;0;0
52;1;0;0;0;20;->;52;52;0;0;0
53;1;0;0;0;21;->;53;53;0;0;0
54;1;0;0;0;22;->;54;54;0;0;0
55;1;0;0;0;23;->;55;55;0;0;0
56;1;0;0;0;24;->;56;56;0;0;0
57;1;0;0;0;25;->;57;57;0;0;0
58;1;0;0;0;26;->;58;58;0;0;0
59;1;0;0;0;27;->;59;59;0;0;0
60;1;0;0;0;28;->;60;60;0;0;0
61;1;0;0;0;29;->;61;61;0;0;0
62;1;0;0;0;30;->;62;62;0;0;0
63;1;0;0;0;31;->;63;63;0;0;0
64;2;0;0;0;0;->;64;64;0;0;0
65;2;0;0;0;1;->;65;65;0;0;0
66;2;0;0;0;2;->;66;66;0;0;0
67;2;0;0;0;3;->;67;67;0;0;0
68;2;0;0;0;4;->;68;68;0;0;0
69;2;0;0;0;5;->;69;69;0;0;0
70;2;0;0;0;6;->;70;70;0;0;0
71;2;0;0;0;7;->;71;71;0;0;0
72;2;0;0;0;8;->;72;72;0;0;0
73;2;0;0;0;9;->;73;73;0;0;0
74;2;0;0;0;10;->;74;74;0;0;0
75;2;0;0;0;11;->;75;75;0;0;0
76;2;0;0;0;12;->;76;76;0;0;0
77;2;0;0;0;13;->;77;77;0;0;0
78;2;0;0;0;14;->;78;78;0;0;0
79;2;0;0;0;15;->;79;79;0;0;0
80;2;0;0;0;16;->;80;80;0;0;0
81;2;0;0;0;17;->;81;81;0;0;0
82;2;0;0;0;18;->;82;82;0;0;0
83;2;0;0;0;19;->;83;83;0;0;0
84;2;0;0;0;20;->;84;84;0;0;0
85;2;0;0;0;21;->;85;85;0;0;0
86;2;0;0;0;22;->;86;86;0;0;0
87;2;0;0;0;23;->;87;87;0;0;0
88;2;0;0;0;24;->;88;88;0;0;0
89;2;0;0;0;25;->;89;89;0;0;0
90;2;0;0;0;26;->;90;90;0;0;0
91;2;0;0;0;27;->;91;91;0;0;0
92;2;0;0;0;28;->;92;92;0;0;0
93;2;0;0;0;29;->;93;93;0;0;0
94;2;0;0;0;30;->;94;94;0;0;0
95;2;0;0;0;31;->;95;95;0;0;0
96;3;0;0;0;0;->;96;96;0;0;0
97;3;0;0;0;1;->;97;97;0;0;0
98;3;0;0;0;2;->;98;98;0;0;0
99;3;0;0;0;3;->;99;99;0;0;0
100;3;0;0;0;4;->;100;100;0;0;0
101;3;0;0;0;5;->;101;101;0;0;0
102;3;0;0;0;6;->;102;102;0;0;0
103;3;0;0;0;7;->;103;103;0;0;0
104;3;0;0;0;8;->;104;104;0;0;0
105;3;0;0;0;9;->;105;105;0;0;0
106;3;0;0;0;10;->;106;106;0;0;0
107;3;0;0;0;11;->;107;107;0;0;0
108;3;0;0;0;12;->;108;108;0;0;0
109;3;0;0;0;13;->;109;109;0;0;0
110;3;0;0;0;14;->;110;110;0;0;0
111;3;0;0;0;15;->;111;111;0;0;0
112;3;0;0;0;16;->;112;112;0;0;0
113;3;0;0;0;17;->;113;113;0;0;0
114;3;0;0;0;18;->;114;114;0;0;0
115;3;0;0;0;19;->;115;115;0;0;0
116;3;0;0;0;20;->;116;116;0;0;0
117;3;0;0;0;21;->;117;117;0;0;0
118;3;0;0;0;22;->;118;118;0;0;0
119;3;0;0;0;23;->;119;119;0;0;0
120;3;0;0;0;24;->;120;120;0;0;0
121;3;0;0;0;25;->;121;121;0;0;0
122;3;0;0;0;26;->;122;122;0;0;0
123;3;0;0;0;27;->;123;123;0;0;0
124;3;0;0;0;28;->;124;124;0;0;0
125;3;0;0;0;29;->;125;125;0;0;0
126;3;0;0;0;30;->;126;126;0;0;0
127;3;0;0;0;31;->;127;127;0;0;0
128;4;0;0;0;0;->;128;128;0;0;0
129;4;0;0;0;1;->;129;129;0;0;0
130;4;0;0;0;2;->;130;130;0;0;0
131;4;0;0;0;3;->;131;131;0;0;0
132;4;0;0;0;4;->;132;132;0;0;0
133;4;0;0;0;5;->;133;133;0;0;0
134;4;0;0;0;6;->;134;134;0;0;0
135;4;0;0;0;7;->;135;135;0;0;0
136;4;0;0;0;8;->;136;136;0;0;0
137;4;0;0;0;9;->;137;137;0;0;0
138;4;0;0;0;10;->;138;138;0;0;0
139;4;0;0;0;11;->;139;139;0;0;0
140;4;0;0;0;12;->;140;140;0;0;0
141;4;0;0;0;13;->;141;141;0;0;0
142;4;0;0;0;14;->;142;142;0;0;0
143;4;0;0;0;15;->;143;143;0;0;0
144;4;0;0;0;16;->;144;144;0;0;0
145;4;0;0;0;17;->;145;145;0;0;0
146;4;0;0;0;18;->;146;146;0;0;0
147;4;0;0;0;19;->;147;147;0;0;0
148;4;0;0;0;20;->;148;148;0;0;0
149;4;0;0;0;21;->;149;149;0;0;0
150;4;0;0;0;22;->;150;150;0;0;0
151;4;0;0;0;23;->;151;151;0;0;0
152;4;0;0;0;24;->;152;152;0;0;0
153;4;0;0;0;25;->;153;153;0;0;0
154;4;0;0;0;26;->;154;154;0;0;0
155;4;0;0;0;27;->;155;155;0;0;0
156;4;0;0;0;28;->;156;156;0;0;0
157;4;0;0;0;29;->;157;157;0;0;0
158;4;0;0;0;30;->;158;158;0;0;0
159;4;0;0;0;31;->;159;159;0;0;0
160;5;0;0;0;0;->;160;160;0;0;0
161;5;0;0;0;1;->;161;161;0;0;0
162;5;0;0;0;2;->;162;162;0;0;0
163;5;0;0;0;3;->;163;163;0;0;0
164;5;0;0;0;4;->;164;164;0;0;0
165;5;0;0;0;5;->;165;165;0;0;0
166;5;0;0;0;6;->;166;166;0;0;0
167;5;0;0;0;7;->;167;167;0;0;0
168;5;0;0;0;8;->;168;168;0;0;0
169;5;0;0;0;9;->;169;169;0;0;0
170;5;0;0;0;10;->;170;170;0;0;0
171;5;0;0;0;11;->;171;171;0;0;0
172;5;0;0;0;12;->;172;172;0;0;0
173;5;0;0;0;13;->;173;173;0;0;0
174;5;0;0;0;14;->;174;174;0;0;0
175;5;0;0;0;15;->;175;175;0;0;0
176;5;0;0;0;16;->;176;176;0;0;0
177;5;0;0;0;17;->;177;177;0;0;0
178;5;0;0;0;18;->;178;178;0;0;0
179;5;0;0;0;19;->;179;179;0;0;0
180;5;0;0;0;20;->;180;180;0;0;0
181;5;0;0;0;21;->;181;181;0;0;0
182;5;0;0;0;22;->;182;182;0;0;0
183;5;0;0;0;23;->;183;183;0;0;0
184;5;0;0;0;24;->;184;184;0;0;0
185;5;0;0;0;25;->;185;185;0;0;0
186;5;0;0;0;26;->;186;186;0;0;0
187;5;0;0;0;27;->;187;187;0;0;0
188;5;0;0;0;28;->;188;188;0;0;0
189;5;0;0;0;29;->;189;189;0;0;0
