Node name,Device,Node Type (extra info),Input Shape (extra info),Output Shape (extra info)
Convolution_101,FPGA,Convolution,[1 256 56 56];[64 256 1 1],[1 64 56 56]
Convolution_110,FPGA,Convolution,[1 64 56 56];[64 64 3 3],[1 64 56 56]
Convolution_119,FPGA,Convolution,[1 64 56 56];[256 64 1 1],[1 256 56 56]
Convolution_135,FPGA,Convolution,[1 256 56 56];[64 256 1 1],[1 64 56 56]
Convolution_144,FPGA,Convolution,[1 64 56 56];[64 64 3 3],[1 64 56 56]
Convolution_153,FPGA,Convolution,[1 64 56 56];[256 64 1 1],[1 256 56 56]
Convolution_179,FPGA,Convolution,[1 256 56 56];[512 256 1 1],[1 512 28 28]
Convolution_194,FPGA,Convolution,[1 256 56 56];[128 256 1 1],[1 128 56 56]
Convolution_219,FPGA,Convolution,[1 128 56 56];[128 128 3 3],[1 128 28 28]
Convolution_228,FPGA,Convolution,[1 128 28 28];[512 128 1 1],[1 512 28 28]
Convolution_244,FPGA,Convolution,[1 512 28 28];[128 512 1 1],[1 128 28 28]
Convolution_253,FPGA,Convolution,[1 128 28 28];[128 128 3 3],[1 128 28 28]
Convolution_262,FPGA,Convolution,[1 128 28 28];[512 128 1 1],[1 512 28 28]
Convolution_278,FPGA,Convolution,[1 512 28 28];[128 512 1 1],[1 128 28 28]
Convolution_287,FPGA,Convolution,[1 128 28 28];[128 128 3 3],[1 128 28 28]
Convolution_296,FPGA,Convolution,[1 128 28 28];[512 128 1 1],[1 512 28 28]
Convolution_312,FPGA,Convolution,[1 512 28 28];[128 512 1 1],[1 128 28 28]
Convolution_321,FPGA,Convolution,[1 128 28 28];[128 128 3 3],[1 128 28 28]
Convolution_330,FPGA,Convolution,[1 128 28 28];[512 128 1 1],[1 512 28 28]
Convolution_356,FPGA,Convolution,[1 512 28 28];[1024 512 1 1],[1 1024 14 14]
Convolution_371,FPGA,Convolution,[1 512 28 28];[256 512 1 1],[1 256 28 28]
Convolution_39,FPGA,Convolution,[1 3 224 224];[64 3 7 7],[1 64 112 112]
Convolution_396,FPGA,Convolution,[1 256 28 28];[256 256 3 3],[1 256 14 14]
Convolution_405,FPGA,Convolution,[1 256 14 14];[1024 256 1 1],[1 1024 14 14]
Convolution_421,FPGA,Convolution,[1 1024 14 14];[256 1024 1 1],[1 256 14 14]
Convolution_430,FPGA,Convolution,[1 256 14 14];[256 256 3 3],[1 256 14 14]
Convolution_439,FPGA,Convolution,[1 256 14 14];[1024 256 1 1],[1 1024 14 14]
Convolution_455,FPGA,Convolution,[1 1024 14 14];[256 1024 1 1],[1 256 14 14]
Convolution_464,FPGA,Convolution,[1 256 14 14];[256 256 3 3],[1 256 14 14]
Convolution_473,FPGA,Convolution,[1 256 14 14];[1024 256 1 1],[1 1024 14 14]
Convolution_489,FPGA,Convolution,[1 1024 14 14];[256 1024 1 1],[1 256 14 14]
Convolution_498,FPGA,Convolution,[1 256 14 14];[256 256 3 3],[1 256 14 14]
Convolution_507,FPGA,Convolution,[1 256 14 14];[1024 256 1 1],[1 1024 14 14]
Convolution_523,FPGA,Convolution,[1 1024 14 14];[256 1024 1 1],[1 256 14 14]
Convolution_53,FPGA,Convolution,[1 64 56 56];[256 64 1 1],[1 256 56 56]
Convolution_532,FPGA,Convolution,[1 256 14 14];[256 256 3 3],[1 256 14 14]
Convolution_541,FPGA,Convolution,[1 256 14 14];[1024 256 1 1],[1 1024 14 14]
Convolution_557,FPGA,Convolution,[1 1024 14 14];[256 1024 1 1],[1 256 14 14]
Convolution_566,FPGA,Convolution,[1 256 14 14];[256 256 3 3],[1 256 14 14]
Convolution_575,FPGA,Convolution,[1 256 14 14];[1024 256 1 1],[1 1024 14 14]
Convolution_601,FPGA,Convolution,[1 1024 14 14];[2048 1024 1 1],[1 2048 7 7]
Convolution_616,FPGA,Convolution,[1 1024 14 14];[512 1024 1 1],[1 512 14 14]
Convolution_641,FPGA,Convolution,[1 512 14 14];[512 512 3 3],[1 512 7 7]
Convolution_650,FPGA,Convolution,[1 512 7 7];[2048 512 1 1],[1 2048 7 7]
Convolution_666,FPGA,Convolution,[1 2048 7 7];[512 2048 1 1],[1 512 7 7]
Convolution_67,FPGA,Convolution,[1 64 56 56];[64 64 1 1],[1 64 56 56]
Convolution_675,FPGA,Convolution,[1 512 7 7];[512 512 3 3],[1 512 7 7]
Convolution_684,FPGA,Convolution,[1 512 7 7];[2048 512 1 1],[1 2048 7 7]
Convolution_700,FPGA,Convolution,[1 2048 7 7];[512 2048 1 1],[1 512 7 7]
Convolution_709,FPGA,Convolution,[1 512 7 7];[512 512 3 3],[1 512 7 7]
Convolution_718,FPGA,Convolution,[1 512 7 7];[2048 512 1 1],[1 2048 7 7]
Convolution_76,FPGA,Convolution,[1 64 56 56];[64 64 3 3],[1 64 56 56]
Convolution_85,FPGA,Convolution,[1 64 56 56];[256 64 1 1],[1 256 56 56]
MaxPool_46,FPGA,MaxPool,[1 64 112 112],[1 64 56 56];[1 64 56 56]
Softmax_584,FPGA,Softmax,[1 1001],[1 1001]
Subtract_2053,FPGA,Transpose,[1 224 224 3];[4],[1 3 224 224]
Subtract_3611,FPGA,Add,[1 3 224 224];[1 3 1 1],[1 3 224 224]
Transpose_1140,FPGA,Add,[1 64 112 112];[1 64 1 1],[1 64 112 112]
Transpose_1142,FPGA,Relu,[1 64 112 112],[1 64 112 112]
Transpose_1148,FPGA,Add,[1 64 56 56];[1 64 1 1],[1 64 56 56]
Transpose_1150,FPGA,Relu,[1 64 56 56],[1 64 56 56]
Transpose_1156,FPGA,Add,[1 64 56 56];[1 64 1 1],[1 64 56 56]
Transpose_1158,FPGA,Relu,[1 64 56 56],[1 64 56 56]
Transpose_1164,FPGA,Add,[1 256 56 56];[1 256 1 1],[1 256 56 56]
Transpose_1170,FPGA,Add,[1 256 56 56];[1 256 1 1],[1 256 56 56]
Transpose_1174,FPGA,Add,[1 256 56 56];[1 256 56 56],[1 256 56 56]
Transpose_1176,FPGA,Relu,[1 256 56 56],[1 256 56 56]
Transpose_1182,FPGA,Add,[1 64 56 56];[1 64 1 1],[1 64 56 56]
Transpose_1184,FPGA,Relu,[1 64 56 56],[1 64 56 56]
Transpose_1190,FPGA,Add,[1 64 56 56];[1 64 1 1],[1 64 56 56]
Transpose_1192,FPGA,Relu,[1 64 56 56],[1 64 56 56]
Transpose_1198,FPGA,Add,[1 256 56 56];[1 256 1 1],[1 256 56 56]
Transpose_1202,FPGA,Add,[1 256 56 56];[1 256 56 56],[1 256 56 56]
Transpose_1204,FPGA,Relu,[1 256 56 56],[1 256 56 56]
Transpose_1210,FPGA,Add,[1 64 56 56];[1 64 1 1],[1 64 56 56]
Transpose_1212,FPGA,Relu,[1 64 56 56],[1 64 56 56]
Transpose_1218,FPGA,Add,[1 64 56 56];[1 64 1 1],[1 64 56 56]
Transpose_1220,FPGA,Relu,[1 64 56 56],[1 64 56 56]
Transpose_1226,FPGA,Add,[1 256 56 56];[1 256 1 1],[1 256 56 56]
Transpose_1230,FPGA,Add,[1 256 56 56];[1 256 56 56],[1 256 56 56]
Transpose_1232,FPGA,Relu,[1 256 56 56],[1 256 56 56]
Transpose_1238,FPGA,Add,[1 128 56 56];[1 128 1 1],[1 128 56 56]
Transpose_1240,FPGA,Relu,[1 128 56 56],[1 128 56 56]
Transpose_1261,FPGA,Add,[1 128 28 28];[1 128 1 1],[1 128 28 28]
